movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;AbsoluteIncrease;RelativeIncrease
logan-2017;10;RvwFromUpHere;/user/RvwFromUpHere;Mar  6, 2017;"[ ""Who: Hugh Jackman, Jean Luc Picard, and the most talented child actor of all time as X-23"", ""What: The incredibly moving most grown up superhero movie ever created"", ""Where: The part of the X-Men universe that is loosely based on a Clint Eastwood film"", ""When (can I watch again): As soon as you recover from the emotional tole this movie takes on you"", ""Why: If X-Men DoFP was our childhood's redemption, this movie is our childhood's funeral. Strap yourself in for one final yet perfect adventure."" ]";2;4;2;2;2;0.25
45-years;10;RvwFromUpHere;/user/RvwFromUpHere;Feb 22, 2016;"[ ""Of all of the Oscar Nominees this year, I have had my life changed by zero. I watched them, enjoyed them, and forgot about them for the most part by the next day. There are some exceptions. I thought about The Big Short over the course of the following week to see if I could understand the housing bubble better in my head, I thought about how Room made me feel while I was falling asleep that night after I saw it, but I've thought about the last 10 minutes of 45 Years more than all of the Best Picture Nominees combined. This was one of those movies that lingers in your head so much, The Cranberries could have written a song about it. Let me preface, this movie is only 90 minutes, and the first 80 are so incredibly slow it's like you're being forced to watch How It's Made  in High School P.E., but boy does it pay off. The ending of this movie punches you in the gut with so much futility you'll think Gone Girl had a happy ending. I will also preface this movie is not for people who disapprove of sad endings, this movie can only be described as \""Soul-crushing.\"" Also, don't bring a date if you want the relationship to last. Couples should have at least 10 years of bliss under their belt, or be confident enough to claim they're the next Niles and Daphne Crane. This movie was finally able to do what no other movie in 2015 ((obviously) other than Star Wars) could, think, feel, and remember why I watch movies in the first place."" ]";2;2;2;0;2;0.25
captain-america-civil-war;10;RvwFromUpHere;/user/RvwFromUpHere;May  6, 2016;"[ ""Who: Captain America, Iron Man, Black Widow, Spider-man, Vision, Black Panther, Hawkeye, Scarlet Witch, Ant-Man, War Machine, Falcon, and Sebastian Stan as The Winter Soldier"", ""What: The best, and arguably most important Civil War ever to happen"", ""Where: A truly wonderful part of the Marvel Cinematic Universe where Aunt May is actually hot"", ""When (Can I watch again): Anytime, anywhere"", ""Why: Honestly, if the \""Who\"" description above doesn't make you want to see this movie, there's nothing anyone can do to help you"" ]";4;11;4;7;2;0.25
sicario;10;RvwFromUpHere;/user/RvwFromUpHere;Oct 13, 2015;"[ ""Who: Emily Blunt, Daddy Warbucks, and Brand from the Goonies as Matt Graver"", ""What: The best movie ending since No Country for Old Men"", ""Where: Drug filled cities too gruesome for Breaking Bad"", ""When (can I watch again): Almost immediately"", ""Why: So you can walk away from the film feeling so futile nothing else in life matters...but in a good way"" ]";5;7;5;2;2;0.25
x-men-days-of-future-past;10;RvwFromUpHere;/user/RvwFromUpHere;Feb 22, 2016;"[ ""Who: Hugh Jackman, Katniss, and a ton of other cool X-Men unlike that lame First Class BS. The coolest mutant in that movie was a dude who shouted at water so he could fly."", ""What: The best super hero movie ever made hands down"", ""Where: A wonderful, wonderful world where both Ian Mckellen and Michael Fassbender can be Magneto"", ""When: May 23, 2014"", ""Why: Bryan Singer made this film to make up for the utter garbage that followed X2. What? Some other director ruined the end of my trilogy? What? This new trilogy is off to a shaky start? Let me fix BOTH problems with one movie and restore everybody's faith in the X-Men. Ten minutes into this movie I turned to my friend and said, \""This is gonna be better than Avengers\"" and sure enough, I was right. This movie has the best ending to a superhero movie I've ever seen, literal jaw-dropping action, and the best utilization of The F Word in a PG-13 movie."" ]";1;1;1;0;2;0.25
prisoners;10;RvwFromUpHere;/user/RvwFromUpHere;Feb 22, 2016;"[ ""Who: Hugh Jackman, Nightcrawler, and Young Brian Wilson"", ""What: Arguably the best thriller ever made"", ""Where: A dark, terrifying part of Pennsylvania worthy of Shyamalan"", ""When: September 20, 2013"", ""Why: Do you like mystery thrillers? Look no further, this is the best one I've ever seen. What about The Usual Suspects? Not a mystery, if Kevin Spacey is in a movie he's the bad guy. What about The Bourne Identity? This is an original plot, not Matt Damon pretending to be Wolverine. What about The Machinist? Really Google? The Machinist? I google best mystery thrillers and you give me Christian Bale starving himself for ninety minutes? Take it from me, this is a solid mystery with a truly evil villain and the last 20 minutes will leave you at the edge of your seat."" ]";1;1;1;0;2;0.25
looper;10;RvwFromUpHere;/user/RvwFromUpHere;Feb 22, 2016;"[ ""Who: Joseph Gordon-Levitt, Die Hard, and that chick who's married to Jim Halpert in real life"", ""What: The best, most original Sci-fi movie since Blade Runner"", ""Where: The future"", ""When: September 28, 2012"", ""Why: This movie has the most accurate portrayal of time travel since Doc Brown and Marty revved up the DeLorean. On top of that you have action hero Bruce Willis, bike enthusiast and Batman sidekick JGL, AND Paul Dano, who I have never seen in a bad movie. This movie also has one of those endings that is open to interpretation; you know, the kind of ending you are right about and your friends are definitely wrong about because they're terrible people when it comes to talking about movies or TV shows."" ]";2;4;2;2;2;0.25
star-wars-episode-vii---the-force-awakens;10;RvwFromUpHere;/user/RvwFromUpHere;Dec 18, 2015;"[ ""Who: John Boyega, Soccer Ball R2D2, and a movie without Jar Jar Binks and Hayden Christensen as a lovely addition to the franchise"", ""What: The best Star Wars movie since 1983"", ""Where: That wondrous galaxy far, far away we came to know and love before George Lucas took a huge s*&% on it with CGI and prequels"", ""When (can I watch again): WHY AREN'T YOU WATCHING IT NOW!?"", ""Why: Much like the original Star Wars, this movie entertains us on an unequaled level and we are reminded how blockbusters should be made in a time when we perhaps need it most"" ]";8;47;8;39;2;0.25
mad-max-fury-road;10;vikesh2206;/user/vikesh2206;May 16, 2015;"[ ""Mad Max: Fury Road makes the Avengers seem like normal humans and the Fast and Furious crew seem like the Slow and Smooth crew. George Miller returns after thirty years to direct this action packed masterpiece with no shortage of high voltage, infinite horsepower action that isn't short of lush cinematography, character development and a satisfactory plot (that works, cause it's 75% action anyways)."", ""Definitely THE summer movie of 2015."" ]";11;23;11;12;2;0.25
whiplash;10;vikesh2206;/user/vikesh2206;Feb 21, 2015;[];0;0;0;0;2;0.25
inception;10;vikesh2206;/user/vikesh2206;Nov  9, 2014;[];6;6;6;0;2;0.25
the-dark-knight;10;vikesh2206;/user/vikesh2206;Nov 10, 2014;[];1;1;1;0;2;0.25
terminator-2-judgment-day;10;vikesh2206;/user/vikesh2206;Jul 18, 2015;[];4;5;4;1;2;0.25
jurassic-park;10;vikesh2206;/user/vikesh2206;Jun 12, 2015;[];0;1;0;1;2;0.25
the-lego-movie;10;BradySmith;/user/BradySmith;Jan  8, 2015;"[ ""Wow.  This was way better than I was expecting.  The animation was stunning, the whole thing, from the screenplay to the action, was full of invention and creativity, and it's actually pretty profound and original to boot.  I loved the characters.  They're funny, very well voiced, and overall, endearing.  There's never a dull moment either.  The beautifully animated action is often both witty and exciting at the same time.  The ending, believe it or not, is extremely meta.  It's actually as deep a meditation on the human imagination, alternate realities, and separate universes as anything you can find in The Matrix, Inception, or Interstellar.  It's actually quite ambiguous too.  There are quite a few possible explanations for what was actually happening, and I'm sure you'll have them bounding around through your head once you see it.  This is as good as animated movies get and one of the best films of 2014 from any genre."" ]";2;5;2;3;2;0.25
million-dollar-baby;10;BradySmith;/user/BradySmith;Jul 17, 2014;"[ ""One of the best movies I've ever seen.  The ending may be morally confused, but from a critical standpoint I really can't find any flaws in the whole movie.  It's so poignant, so powerfully acted, and so well written that I'm going to go out on a limb and call it a true masterpiece.  Eastwood's direction is impeccable, and the film's emotions feel real, natural, and unforced.  The characters also seem like real people instead of just the usual cardboard cutouts.  I could go on forever.  This movie is great."" ]";0;0;0;0;2;0.25
forrest-gump;10;BradySmith;/user/BradySmith;Sep  6, 2014;"[ ""A timeless and beautiful movie.  Forrest Gump is truly a modern epic.  It's hilarious, heartbreaking, sometimes breathtaking, and completely unforgettable.  The scope is impressive.  Never does the movie feel slight or insignificant.  It encompasses the entire human emotional spectrum, is impeccably acted, especially by Hanks, and it contains some of the most memorable characters in film history.  At the risk of sounding too overjoyed, it's an absolute classic.  Forget the cynics and their campaign against anything emotionally touching.  This is one of the greatest films of all time.  It's an accomplishment that has stood the test of time and shows no sign of aging."" ]";0;0;0;0;2;0.25
the-shawshank-redemption;10;BradySmith;/user/BradySmith;Jun 12, 2013;"[ ""Has to be the best prison movie ever.  Yes, it's even better than the Green Mile.  I've been putting off watching this movie forever, thinking it was going to be boring and sappy.  But it's far from it.  This movie wraps you up in its story and it always feels very real due to superb filmmaking.  The acting couldn't get any better, and in the end this is one of the most uplifting movies ever made.  Yes it's very long, but it without a doubt justifies its length."" ]";0;0;0;0;2;0.25
